levelket	text
10.33.1	हरि:ॐ।। प्रमा॑। मा॒यु॒यु॒ज्रे॒। यु॒यु॒ज्रे॒प्र॒युज॑:। प्र॒युजो॒जना॑नां। प्र॒युज॒इति॑प्र॒ऽयुज॑:। जना॑नां॒वहा॑मि। वहा॑मिस्म। स्म॒पू॒षणं॑। पू॒षण॒मन्त॑रेण। अन्त॑रे॒णेत्यन्त॑रेण।। विश्वे॑दे॒वास॑:। दे॒वासो॒अध॑। अध॒मां। माम॑रक्षन्। अ॒र॒क्ष॒न्दु॒श्शासु॑:। दु॒श्शासु॒रागा॑त्। दु॒श्शाशु॒रिति॑दु॒:ऽशासु॑:। आगा॑त्। अ॒गा॒दिति॑। इति॒घोष॑:। घॊष॑आसीत्। आ॒सी॒दित्या॑सीत्।।
10.33.2	सम्मा॑तपन्त्य॒भित॑स॒पत्नी॑रिव॒पर्श॑व:।। निबा॑धते। बा॒ध॒ते॒अम॑ति:। अम॑तिर्न॒ग्नता॑। न॒ग्नता॒जसु॑:। जसु॒र्वे:। वेर्न। नवे॑वीयते। वे॒वी॒य॒ते॒म॒ति:। म॒तिरिति॑म॒ति:।।
10.33.3	मूषो॒नशि॒श्नाव्य॑दन्तिमा॒ध्य॑स्स्तो॒र॑न्तेशतक्रतो।। स॒कृत्सु। सुन॑:। नो॒म॒घ॒व॒न्। म॒घ॒व॒न्नि॒न्द्र॒। म॒घ॒वन्निति॑मघऽवन्। इ॒न्द्र॒मृ॒ळ॒य॒। मृ॒ळ॒याध॑। अधा॑पि॒तेव॑। पि॒तेव॑न:। पि॒तेवेति॑पि॒ताऽइ॑व। नो॒भ॒व॒। भ॒वेति॑भव।।
10.33.4	कु॒रु॒श्रव॑णमावृणि॒राजा॑नं। कु॒रु॒श्रव॑ण॒मिति॑कु॒रु॒ऽश्रव॑णं। अ॒वृ॒णीत्य॑वृणि। राजा॑नं॒त्रास॑दस्यवं। त्रास॑दस्यव॒मिति॒त्रास॑दस्यवं।। मंहि॑ष्ठंवा॒घतां॑। वा॒घता॒मृषि॑:। ऋषि॒रित्यृषि॑:।।
10.33.5	यस्य॑मा। मा॒ह॒रित॑:। ह॒रितो॒रथे॑। रथे॑ति॒स्र:। ति॒स्रोवह॑न्ति। वह॑न्तिसाधु॒या। सा॒धु॒येति॑सा॒धु॒ऽया।। स्तवै॑स॒हस्र॑दक्षिणे। स॒हस्र॑दक्षिण॒इति॑स॒हस्र॑ऽदक्षिणे।। 1।।
10.33.6	यस्य॒प्रस्वा॑दस:। प्रस्वा॑दसो॒गिर॑:। प्रस्वा॑दस॒इति॑प्रऽस्वा॑दस:। गिर॑उप॒मश्र॑वस:। उ॒प॒मश्र॑वस:पि॒तु:। उ॒प॒मश्र॑वस॒इत्यु॑प॒मऽश्र॑वस:। पि॒तुरिति॑पि॒तु:।। क्षेत्र॒न्न। नर॒ण्वं। र॒ण्वमू॒चुषे॑। ऊ॒चुष॒इत्यू॒चुषे॑।।
10.33.7	अधि॑पुत्र। पु॒त्रो॒प॒म॒श्र॒व॒:। उ॒प॒म॒श्र॒वो॒नपा॑त्। उ॒प॒म॒श्र॒व॒इत्यु॑पमऽश्रव:। नपा॑न्मित्रातिथे:। मि॒त्रा॒ति॒थे॒रि॒हि॒। मि॒त्रा॒ति॒थे॒रिति॑मित्रऽअतिथे:। इ॒हीती॑हि।। पि॒तुष्टे॑। ते॒अ॒स्मि॒। अ॒स्मि॒व॒न्दि॒ता। व॒न्दि॒तेति॑व॒न्दि॒ता।।
10.33.8	यदीशी॑य। ईशी॑या॒मृता॑नां। अ॒मृता॑ना॒मु॒त। उ॒तवा॑। वा॒मर्त्या॑नां। मर्त्या॑ना॒मिति॒मर्त्या॑नां।। जीवे॒दित्। इन्म॒घवा॑। म॒घवा॒मम॑। ममेति॒मम॑।।
10.33.9	नदे॒वानां॑। दे॒वाना॒मति॑। अति॑व्र॒तं। व्र॒तंश॒तात्मा॑। श॒तात्मा॑च॒न। श॒तत्मेति॑श॒तऽआ॑त्मा। च॒नजी॑वति। जी॒व॒तीति॑जीवति।। तथा॑यु॒जा। यु॒जावि। विवा॑वृते। व॒वृ॒त॒इति॑ववृते।। 2।।
10.34.1	प्रा॒वे॒पामा॑। मा॒बृ॒ह॒त:। बृ॒ह॒तोमा॑दयन्ति। मा॒द॒य॒न्ति॒प्र॒वा॒ते॒जा:। प्र॒वा॒ते॒जाइरि॑णे। प्र॒वा॒ते॒जाइति॑प्र॒ऽवा॒ते॒जा:। इरि॑णे॒वर्वृ॑ताना:। वर्वृ॑ताना॒इति॒वर्वृ॑ताना:।। सोम॑स्येवमौजव॒तस्य॑। सोम॑स्ये॒वेति॒सोम॑स्यऽइव। मौ॒ज॒व॒तस्य॑भ॒क्ष:। भ॒क्षोवि॒भीद॑क:। वि॒भीद॑को॒जागृ॑वि:। वि॒भीद॑क॒इति॑वि॒ऽभीद॑क:। जागृ॑वि॒र्मह्यं॑। मह्य॑म॒च्छान्। अ॒च्छानित्य॒च्छान्।।
10.34.2	नमा॑। मा॒मि॒मे॒थ॒। मि॒मे॒थ॒न। नजि॑हीळे। जि॒ही॒ळ॒ए॒षा। ए॒षाशि॒वा। शि॒वासखि॑भ्य:। सखि॑भ्यउ॒त। उ॒तमह्यं॑। मह्य॑मासीत्। आ॒सी॒दि॒त्या॑सीत्।। अ॒क्षस्या॒हं। अ॒हमे॑कप॒रस्य॑। ए॒क॒प॒रस्य॑हे॒तो:। ए॒क॒प॒रस्येत्ये॑क॒ऽप॒रस्य॑। हे॒तोरनु॑व्रतां। अनु॑व्रता॒मप॑। अनु॑व्र॒त्तेत्यनु॑ऽव्रतां। अप॑जा॒यां। जा॒याम॑रोधं। अ॒रो॒ध॒मित्य॑रोधं।।
