levelket	text
3.56.8	त्रिरु॑त्त॒मा। उ॒त्त॒मादू॒णशा॑। उ॒त्त॒मेत्यु॒त्ऽत॒मा। दू॒णशा॑रोच॒नानि॑। दु॒र्नशेति॑दु॒:ऽनशा॑। रो॒च॒नानि॒त्रय॑:। त्रयो॑राजन्ति। रा॒ज॒न्त्य॒सु॑रस्य। असु॑रस्यवी॒रा:। वी॒राइति॑वी॒रा:।। ऋ॒तावा॑नइषि॒रा:। ऋ॒तवा॑न॒इत्यृ॒तऽवा॑न:। इ॒षि॒रादू॒ळभा॑स:। दू॒ळभा॑स॒स्त्रि:। दु॒र्दभा॑स॒इति॑दु॒:ऽदभा॑स:। त्रिरादि॒वोवि॒दथे॑सन्तु। स॒न्तु॒दे॒वा:। दे॒वाइति॑दे॒वा:।। 1।।
3.57.1	प्रमे॑। मे॒वि॒वि॒क्वान्। वि॒वि॒क्वाँअ॑विदन्। अ॒वि॒द॒न्म॒नी॒षां। म॒नी॒षांधे॒नुं। धे॒नुंचर॑न्तीं। चर॑न्तीं॒प्रयु॑तां। प्रयु॑ता॒मगो॑पां। प्रयु॑ता॒मिति॒प्रऽयु॑तां। अगो॑पा॒मित्यगो॑पां।। स॒द्यश्चि॑त्। चि॒द्यादु॑दुहे। आदु॑दुहे। दु॒दु॒हे॒भूरि॑। भूरि॑धा॒से:। धा॒सेरिन्द्र॑:। इन्द्र॒स्तत्। तद॒ग्नि:। अ॒ग्नि:प॑नि॒तार॑:। प॒नि॒तारो॑अस्या:। अ॒स्या॒इत्य॑स्या:।।
3.57.2	इन्द्र॒स्सु। सुपू॒षा। पू॒षावृष॑णा। वृष॑णासु॒हस्ता॑। सु॒हस्ता॑दि॒व:। सु॒हस्तेति॑सु॒ऽहस्ता॑। दि॒विन। नप्री॒ता:। प्री॒ताश्श॑श॒यं। श॒श॒यंदु॑दुह्रे। दु॒दु॒ह्रइति॑दुदुह्रे।। विश्वे॒यत्। यद॑श्यां। अ॒श्यां॒र॒णय॑न्त। र॒णय॑न्तदे॒वा:। दे॒वा:प्र। प्रव॑:। वोत्रा॑। अत्रा॑वसव:। व॒स॒व॒स्सु॒म्नं। सु॒म्नम॑श्यां। अ॒श्या॒मित्य॑श्यां।।
3.57.3	याजा॒मय॑:। जा॒मयो॒वृष्णे॑। वृष्ण॑इ॒च्छन्ति॑। इ॒च्छन्ति॑श॒क्तिं। श॒क्तिंन॑म॒स्यन्तीः॑। न॒म॒स्यन्ती॑र्जानते। जा॒न॒ते॒गर्भं॑। गर्भ॑म॒स्मिन्। अ॒स्मिन्नित्य॒स्मिन्।। अच्छा॑पु॒त्रं। पु॒त्रंधे॒नव॑:। धे॒वनो॑वावशा॒ना:। वा॒व॒शा॒नामह॑:। म॒हश्च॑रन्ति। च॒र॒न्ति॒बिभ्र॑ती। बिभ्र॑ती॒वपूं॑षि। वपूं॒षीति॒वपूं॑षि।।
3.57.4	अच्छा॑विवक्मि। वि॒व॒क्मि॒रोद॑सी। रोद॑सीसु॒मेके॑। रोद॑सी॒इति॒रोद॑सी। सु॒रुक्मे॒ग्राव्ण॑ः। सु॒रुक्मे॒इति॑सु॒ऽरुक्मे॑। ग्राव्णो॑युजा॒न:। यु॒जा॒नोअ॑ध्व॒रे। अ॒ध्व॒रेम॑नी॒षा:। म॒नी॒षाइति॑म॒नी॒षा:।। इ॒माऊ॑ते। ऊँ॒इत्यूँ॑। ते॒मन॑वे। मन॑वे॒भूरि॑वारा:। भूरि॑वाराऊ॒र्ध्वा। भूरि॑वारा॒इति॒भूरि॑ऽवारा:। भूरि॑वारा॒ऽइति॒भूरि॑ऽवारा:। ऊ॒र्ध्वाभ॑वन्ति। भ॒व॒न्ति॒द॒र्श॒ता:। द॒र्श॒तायज॑त्रा:। य॒ज॒त्रा॒इति॑यजत्रा:।।
3.57.5	याते॑। ते॒जि॒ह्वा। जि॒ह्वामधु॑मती। मधु॑मतीस्सुमे॒धा:। मधु॑मती॒रिति॒मधु॑ऽमती:। सु॒मे॒धाअग्ने॑। सु॒मे॒धाइति॑सु॒ऽमे॒धा:। अग्ने॑दे॒वेषु॑। दे॒वेषू॒च्यते॑। उ॒च्यत॑उरू॒ची। उ॒रू॒चीत्यू॑रू॒ची।। तये॒ह। इ॒हविश्वा॑न्। विश्वाँ॒अव॑से। अव॑से॒यज॑त्रान्। यज॑त्रा॒नासा॑दय। आसा॑दय। सा॒द॒य॒पा॒यया॑। पा॒यया॑च। च॒मधू॑नि। मधू॒नीति॒मधू॑नि।।
3.57.6	याते॑। ते॒अ॒ग्ने॒। अ॒ग्ने॒पर्व॑तस्येव। पर्व॑तस्येव॒धारा॑:। पर्व॑तस्ये॒वेति॒पर्व॑तस्यऽइव। धारास॑श्चन्ती। अस॑श्चन्तीपी॒पय॑त्। पी॒पय॑द्देव। दे॒व॒चि॒त्रा॒। चि॒त्रेति॑चित्रा।। ताम॒स्मभ्यं॑। अ॒स्मभ्यं॒प्रम॑तिं। प्रम॑तिजातवेद:। प्रम॑ति॒मिति॒प्रऽम॑तिं। जा॒त॒वे॒दो॒वसो॑। जा॒त॒वे॒द॒इति॑जातःऽवेद:। वसो॒रास्व॑। वसो॒इति॒वसो॑। रास्व॑सुम॒तिं। सु॒म॒तिंवि॒श्वज॑न्यां। सु॒म॒तिमिति॑सु॒ऽम॒तिं। वि॒श्वज॑न्या॒मिति॑वि॒श्वऽज॑न्यां।।2।।
3.58.1	धे॒नु:प्र॒त्नस्य॑। प्र॒त्नस्य॒काम्यं॑। काम्यं॒दुहा॑ना। दुहा॑ना॒न्त:। अ॒न्त:पु॒त्र:। अ॒न्तरित्य॒न्त:। पु॒त्रश्च॑रति। च॒र॒तिदक्षि॑णाया:। दक्षि॑णाया॒इति॒दक्षि॑णाया:।। आद्यो॑त॒निं। द्यो॒त॒निंव॑हति। व॒ह॒तिशु॒भ्रया॑मा। शु॒भ्रया॑मो॒षस॑:। उ॒षस॒स्स्तोम॑:। स्तोमो॑अ॒श्विना॑। अ॒श्विना॑वजीग:। अ॒जी॒ग॒इत्य॑जीग:।।
3.58.2	सु॒युग्व॑हन्ति। व॒ह॒न्ति॒प्रति॑। प्रति॑वां। वा॒मृ॒तेन॑। ऋ॒तेनो॒र्ध्वा:। ऊ॒र्ध्वाभ॑वन्ति। भ॒व॒न्ति॒पि॒तरे॑व। पि॒तरे॑वमे॒धा:। पि॒तरे॒वेति॑पि॒तरा॑ऽइव। मे॒धाइति॑मे॒धा:।। जरे॑थाम॒स्मत्। अ॒स्मद्वि। विप॒णॆ:। प॒णॆर्म॑नी॒षां। म॒नी॒षांयु॒वो:। यु॒वोरव॑:। अव॑श्चकृ॒म। च॒कृ॒माया॑तं। आया॑तं। या॒त॒म॒र्वाक्। अ॒र्वागित्य॒र्वाक्।।
3.58.3	सु॒युग्भि॒रश्वै॑:। सु॒युग्भि॒रिति॑सु॒युक्ऽभि॑:। अश्वै॑स्सु॒वृता॑। सु॒वृता॒रथे॑न॒दस्रा॑वि॒मंशृ॑णुतं॒श्लोक॒मद्रे॑:।। किम॒ङ्गवां॒प्रत्यव॑र्तिं॒गमि॑ष्ठा॒हुर्विप्रा॑सोअश्विनापुरा॒जा:।।
