levelket	text
9.102.1	हरि:ॐ। पुरो॒जि॑तीव:। पु॒रोजि॒तीति॑पु॒र:ऽजि॑ती। वो॒अन्ध॑सः। अन्ध॑सस्सु॒ताय॑। सु॒ताय॑मादयि॒त्नवे॑। मा॒द॒यि॒त्नव॒इति॑मा॒द॒यि॒त्नवे॑।। अप॒श्वानं॑। श्वानं॑श्नथिष्ठन। श्न॒थि॒ष्ट॒न॒सखा॑यः। सखा॑योदीर्घजि॒ह्व्यं॑। दी॒र्घ॒जि॒ह्व्यमिति॑दी॒र्घऽजि॒ह्व्यं॑।।
9.102.2	योधार॑या। धार॑यापाव॒कया॑। पा॒व॒कया॑परिप्र॒स्यन्द॑ते। प॒रि॒प्र॒स्यन्द॑तेसु॒त:। प॒रि॒प्र॒स्यन्द॑त॒इति॑प॒रि॒ऽप्र॒स्यन्द॑ते। सु॒तइति॑सु॒त:।। इन्दु॒रश्व॑:। अश्वो॒न। नकृत्व्य॑:। कृत्व्य॒इति॒कृत्व्य॑:।।
9.102.3	तंदु॒रोषं॑। दु॒रोष॑म॒भि। अ॒भीनर॑:। नर॒स्सोमं॑। सोमं॑वि॒श्वाच्या॑। वि॒श्वाच्या॑धि॒या। धि॒येति॑धि॒या।। य॒ज्ञंहि॑न्वन्ति। हि॒न्व॒न्त्यद्रि॑भि:। अद्रि॑भि॒रित्यद्रि॑ऽभि:।।
9.102.4	सु॒तासो॒मधु॑मत्तमा:। मधु॑मत्तमा॒स्सोमा॑:। मधु॑मत्तमा॒इति॒मधु॑मत्ऽतमा:। सोमा॒इन्द्रा॑य। इन्द्रा॑यम॒न्दिन॑:। म॒न्दिन॒इति॑म॒न्दिन॑:।। प॒वित्र॑वन्तोअक्षरन्। प॒वित्र॑वन्त॒इति॑प॒वित्र॑ऽवन्त:। अ॒क्ष॒र॒न्दे॒वान्। दे॒वान्ग॑च्छन्तु। ग॒च्छ॒न्तु॒व॒:। वो॒मदा॑:। मदा॒इति॒मदाः॑।।
9.102.5	इन्दु॒रिन्द्रा॑य। इन्द्रा॑यपवते। प॒व॒त॒इति॑। इति॑दे॒वास॑:। दे॒वासो॑अब्रुवन्। अ॒ब्रु॒व॒न्नित्य॑ब्रुवन्।। वा॒चस्पति॑:। पति॑र्मखस्यते। म॒ख॒स्य॒ते॒विश्व॑स्य। विश्व॒स्येशा॑न:। ईशा॑न॒ओज॑सा। ओज॒सेत्योज॑सा।। 1।।
9.102.6	स॒हस्र॑धार:पवते। स॒हस्र॑धार॒इति॑स॒हस्र॑ऽधार:। प॒व॒ते॒स॒मु॒द्र:। स॒मु॒द्रोवा॑चमींख॒य:। वा॒च॒मीं॒ख॒यइति॑वा॒चं॒ऽईं॒ख॒य:।। सोम॒:पति॑:। पती॑रयी॒णां। र॒यी॒णांसखा॑। सखेन्द्र॑स्य। इन्द्र॑स्यदि॒वेदि॑वे। दि॒वेदि॑व॒इति॑दि॒वेऽदि॑वे।।
9.102.7	अ॒यंपू॒षा। पू॒षार॒यि:। र॒यिर्भग॑:। भग॒स्सोम॑:। सोम॑:पुना॒न:। पु॒ना॒नोअ॑र्षति। अ॒र्ष॒तीत्य॑र्षति।। पति॒र्विश्व॑स्य। विश्व॑स्य॒भूम॑न:। भूम॑नो॒वि। व्य॑ख्यत्। अ॒ख्य॒द्रोद॑सी। रोद॑सीउ॒भे। रोद॑सी॒इति॒रोद॑सी। उ॒भेइत्यु॒भे।।
9.102.8	समु॑प्रि॒या:। ऊँ॒इत्यूँ॑। प्रि॒याअ॑नूषत। अ॒नू॒ष॒त॒गाव॑:। गावो॒मदा॑य। मदा॑य॒घृष्व॑य:। घृष्व॑य॒इति॒घृष्व॑य:।। सोमा॑स:कृण्वते। कृ॒ण्व॒ते॒प॒थ:। प॒थ:पव॑मानास:। पव॑मानास॒इन्द॑व:। इन्द॑व॒इतीन्द॑व:।।
9.103.1	क्रा॒णाशिशु॑:। शिशु॑र्म॒हीनां॑। म॒हीनां॑हि॒न्वन्। हि॒न्वन्नृ॒तस्य॑। ऋ॒तस्य॒दीधि॑तिं। दीधि॑ति॒मिति॒दीधितिं।। विश्वा॒परि॑। परि॑प्रि॒या। प्रि॒याभु॑वत्। भु॒व॒दध॑। अध॑द्वि॒ता। द्वि॒तेति॑द्वि॒ता।।
9.103.2	उप॑त्रि॒तस्य॑। त्रि॒तस्य॑पा॒ष्यो:। पा॒ष्योरभ॑क्त। अभ॑क्त॒यत्। यद्गुहा॑। गुहा॑प॒दं। प॒दमिति॑प॒दं।। य॒ज्ञस्य॑स॒प्त। स॒प्तधाम॑भि:। धाम॑भि॒रध॑। धाम॑भि॒रिति॒धाम॑ऽभि:। अध॑प्रि॒यं। प्रि॒यमिति॑प्रि॒यं।।
